127.0.0.1 - - [08/Oct/2020:09:44:38 +0900] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [08/Oct/2020:09:44:39 +0900] "GET /WebClient_Javascript/Quiz_Sal.html HTTP/1.1" 200 6135
0:0:0:0:0:0:0:1 - - [08/Oct/2020:09:44:39 +0900] "GET /favicon.ico HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [08/Oct/2020:10:05:43 +0900] "GET /WebClient_Javascript/Ex17_Dom_Script.html HTTP/1.1" 200 921
0:0:0:0:0:0:0:1 - - [08/Oct/2020:10:22:14 +0900] "GET /WebClient_Javascript/Ex18_DOM_Script.html HTTP/1.1" 200 1233
0:0:0:0:0:0:0:1 - - [08/Oct/2020:10:23:21 +0900] "GET /WebClient_Javascript/Ex18_DOM_Script.html HTTP/1.1" 200 1233
0:0:0:0:0:0:0:1 - - [08/Oct/2020:10:25:08 +0900] "GET /WebClient_Javascript/Ex18_DOM_Script.html HTTP/1.1" 200 1481
0:0:0:0:0:0:0:1 - - [08/Oct/2020:10:25:43 +0900] "GET /WebClient_Javascript/Ex18_DOM_Script.html HTTP/1.1" 200 1455
0:0:0:0:0:0:0:1 - - [08/Oct/2020:10:26:59 +0900] "GET /WebClient_Javascript/Ex18_DOM_Script.html HTTP/1.1" 200 1453
0:0:0:0:0:0:0:1 - - [08/Oct/2020:10:26:59 +0900] "GET /WebClient_Javascript/images/1.jpg HTTP/1.1" 200 40008
0:0:0:0:0:0:0:1 - - [08/Oct/2020:10:27:47 +0900] "GET /WebClient_Javascript/Ex18_DOM_Script.html HTTP/1.1" 200 1530
0:0:0:0:0:0:0:1 - - [08/Oct/2020:10:28:49 +0900] "GET /WebClient_Javascript/Ex18_DOM_Script.html HTTP/1.1" 200 1530
0:0:0:0:0:0:0:1 - - [08/Oct/2020:10:35:29 +0900] "GET /WebClient_Javascript/Ex19_DOM_Script.html HTTP/1.1" 200 432
0:0:0:0:0:0:0:1 - - [08/Oct/2020:10:35:45 +0900] "GET /WebClient_Javascript/Ex19_DOM_Script.html HTTP/1.1" 200 440
0:0:0:0:0:0:0:1 - - [08/Oct/2020:10:38:01 +0900] "GET /WebClient_Javascript/Ex19_DOM_Script.html HTTP/1.1" 200 629
